sim_time,controller_name,scenario_name,scenario_id,seed,current_phase_idx,current_phase_name,time_in_phase,candidate_phase_idx,candidate_phase_name,final_action,switch_event,entered_clearance,override_flag,override_reason,veh_queue_ns_obs,veh_queue_ew_obs,ped_wait_ew_obs,ped_wait_ns_obs,veh_demand_ns_obs,veh_demand_ew_obs,ped_demand_ew_obs,ped_demand_ns_obs,veh_queue_ns_true,veh_queue_ew_true,ped_wait_ew_true,ped_wait_ns_true,delay_active,false_ped_active,detector_failure_active,failure_mode,phantom_ped_count,dangerous_switch_attempt_flag,conflict_flag,vehicle_starvation_flag,ped_starvation_flag,unnecessary_switch_flag
28.0,adaptive_shield,intersection_ped_heavy,,0,0,Vehicle_NS,27,0,Vehicle_NS,hold,0,0,0,,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,,0,0,0,0,0,0
29.0,adaptive_shield,intersection_ped_heavy,,0,0,Vehicle_NS,28,2,Vehicle_EW,switch,1,1,0,,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,,0,0,0,0,0,0
32.0,adaptive_shield,intersection_ped_heavy,,0,1,Clearance_after_NS,2,1,Clearance_after_NS,switch,1,0,0,,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,,0,0,0,0,0,1
33.0,adaptive_shield,intersection_ped_heavy,,0,2,Vehicle_EW,0,2,Vehicle_EW,hold,0,0,0,,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,,0,0,0,0,0,0
34.0,adaptive_shield,intersection_ped_heavy,,0,2,Vehicle_EW,1,2,Vehicle_EW,hold,0,0,0,,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,,0,0,0,0,0,0
35.0,adaptive_shield,intersection_ped_heavy,,0,2,Vehicle_EW,2,2,Vehicle_EW,hold,0,0,0,,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,,0,0,0,0,0,0
36.0,adaptive_shield,intersection_ped_heavy,,0,2,Vehicle_EW,3,2,Vehicle_EW,hold,0,0,0,,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,,0,0,0,0,0,0
37.0,adaptive_shield,intersection_ped_heavy,,0,2,Vehicle_EW,4,2,Vehicle_EW,hold,0,0,0,,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,,0,0,0,0,0,0
38.0,adaptive_shield,intersection_ped_heavy,,0,2,Vehicle_EW,5,2,Vehicle_EW,hold,0,0,0,,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,,0,0,0,0,0,0
39.0,adaptive_shield,intersection_ped_heavy,,0,2,Vehicle_EW,6,2,Vehicle_EW,hold,0,0,0,,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,,0,0,0,0,0,0
40.0,adaptive_shield,intersection_ped_heavy,,0,2,Vehicle_EW,7,2,Vehicle_EW,hold,0,0,0,,1,0,2,1,1,1,1,1,1,0,2,1,0,0,0,,0,0,0,0,0,0
41.0,adaptive_shield,intersection_ped_heavy,,0,2,Vehicle_EW,8,2,Vehicle_EW,hold,0,0,0,,1,0,2,1,1,1,1,1,1,0,2,1,0,0,0,,0,0,0,0,0,0
42.0,adaptive_shield,intersection_ped_heavy,,0,2,Vehicle_EW,9,2,Vehicle_EW,hold,0,0,0,,1,0,2,1,1,1,1,1,1,0,2,1,0,0,0,,0,0,0,0,0,0
43.0,adaptive_shield,intersection_ped_heavy,,0,2,Vehicle_EW,10,2,Vehicle_EW,hold,0,0,0,,1,0,3,1,1,1,1,1,1,0,3,1,0,0,0,,0,0,0,0,0,0
44.0,adaptive_shield,intersection_ped_heavy,,0,2,Vehicle_EW,11,2,Vehicle_EW,hold,0,0,0,,1,0,3,2,1,1,1,1,1,0,3,2,0,0,0,,0,0,0,0,0,0
45.0,adaptive_shield,intersection_ped_heavy,,0,2,Vehicle_EW,12,2,Vehicle_EW,hold,0,0,0,,1,0,2,3,1,1,1,1,1,0,2,3,0,0,0,,0,0,0,0,0,0
46.0,adaptive_shield,intersection_ped_heavy,,0,2,Vehicle_EW,13,2,Vehicle_EW,hold,0,0,0,,1,0,3,3,1,1,1,1,1,0,3,3,0,0,0,,0,0,0,0,0,0
47.0,adaptive_shield,intersection_ped_heavy,,0,2,Vehicle_EW,14,4,Ped_EW,switch,1,1,0,,1,1,3,2,1,1,1,1,1,1,3,2,0,0,0,,0,0,0,0,0,0
50.0,adaptive_shield,intersection_ped_heavy,,0,3,Clearance_after_EW,2,3,Clearance_after_EW,switch,1,0,0,,3,0,3,3,1,1,1,1,3,0,3,3,0,0,0,,0,0,0,0,0,0
51.0,adaptive_shield,intersection_ped_heavy,,0,4,Ped_EW,0,4,Ped_EW,hold,0,0,0,,2,0,0,3,1,1,0,1,2,0,0,3,0,0,0,,0,0,0,0,0,0
52.0,adaptive_shield,intersection_ped_heavy,,0,4,Ped_EW,1,4,Ped_EW,hold,0,0,0,,2,0,0,3,1,1,0,1,2,0,0,3,0,0,0,,0,0,0,0,0,0
53.0,adaptive_shield,intersection_ped_heavy,,0,4,Ped_EW,2,4,Ped_EW,hold,0,0,0,,2,0,0,3,1,1,0,1,2,0,0,3,0,0,0,,0,0,0,0,0,0
54.0,adaptive_shield,intersection_ped_heavy,,0,4,Ped_EW,3,4,Ped_EW,hold,0,0,0,,2,0,0,3,1,1,0,1,2,0,0,3,0,0,0,,0,0,0,0,0,0
55.0,adaptive_shield,intersection_ped_heavy,,0,4,Ped_EW,4,4,Ped_EW,hold,0,0,0,,3,0,0,3,1,1,0,1,3,0,0,3,0,0,0,,0,0,0,0,0,0
56.0,adaptive_shield,intersection_ped_heavy,,0,4,Ped_EW,5,4,Ped_EW,hold,0,0,0,,2,0,0,3,1,1,0,1,2,0,0,3,0,0,0,,0,0,0,0,0,0
57.0,adaptive_shield,intersection_ped_heavy,,0,4,Ped_EW,6,4,Ped_EW,hold,0,0,0,,2,0,0,3,1,1,0,1,2,0,0,3,0,0,0,,0,0,0,0,0,0
58.0,adaptive_shield,intersection_ped_heavy,,0,4,Ped_EW,7,4,Ped_EW,hold,0,0,0,,3,0,0,3,1,1,0,1,3,0,0,3,0,0,0,,0,0,0,0,0,0
59.0,adaptive_shield,intersection_ped_heavy,,0,4,Ped_EW,8,4,Ped_EW,hold,0,0,0,,3,0,0,4,1,1,0,1,3,0,0,4,0,0,0,,0,0,0,0,0,0
60.0,adaptive_shield,intersection_ped_heavy,,0,4,Ped_EW,9,0,Vehicle_NS,switch,1,1,0,,3,1,0,3,1,1,0,1,3,1,0,3,0,0,0,,0,0,0,0,0,0
