sim_time,controller_name,scenario_name,scenario_id,seed,current_phase_idx,current_phase_name,time_in_phase,candidate_phase_idx,candidate_phase_name,final_action,switch_event,entered_clearance,override_flag,override_reason,veh_queue_ns_obs,veh_queue_ew_obs,ped_wait_ew_obs,ped_wait_ns_obs,veh_demand_ns_obs,veh_demand_ew_obs,ped_demand_ew_obs,ped_demand_ns_obs,veh_queue_ns_true,veh_queue_ew_true,ped_wait_ew_true,ped_wait_ns_true,delay_active,false_ped_active,detector_failure_active,failure_mode,phantom_ped_count,dangerous_switch_attempt_flag,conflict_flag,vehicle_starvation_flag,ped_starvation_flag,unnecessary_switch_flag
2.0,adaptive_shield,intersection_bursty_ped,S5_false_ped_and_burst,0,0,Vehicle_NS,1,0,Vehicle_NS,hold,0,0,0,,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,,1,0,0,0,0,0
3.0,adaptive_shield,intersection_bursty_ped,S5_false_ped_and_burst,0,0,Vehicle_NS,2,0,Vehicle_NS,hold,0,0,0,,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,,1,0,0,0,0,0
4.0,adaptive_shield,intersection_bursty_ped,S5_false_ped_and_burst,0,0,Vehicle_NS,3,0,Vehicle_NS,hold,0,0,0,,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,,1,0,0,0,0,0
5.0,adaptive_shield,intersection_bursty_ped,S5_false_ped_and_burst,0,0,Vehicle_NS,4,0,Vehicle_NS,hold,0,0,0,,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,,1,0,0,0,0,0
6.0,adaptive_shield,intersection_bursty_ped,S5_false_ped_and_burst,0,0,Vehicle_NS,5,0,Vehicle_NS,hold,0,0,0,,1,0,2,0,1,0,1,0,1,0,0,0,0,1,0,,2,0,0,0,0,0
7.0,adaptive_shield,intersection_bursty_ped,S5_false_ped_and_burst,0,0,Vehicle_NS,6,0,Vehicle_NS,hold,0,0,0,,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,,1,0,0,0,0,0
8.0,adaptive_shield,intersection_bursty_ped,S5_false_ped_and_burst,0,0,Vehicle_NS,7,0,Vehicle_NS,hold,0,0,0,,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,,1,0,0,0,0,0
9.0,adaptive_shield,intersection_bursty_ped,S5_false_ped_and_burst,0,0,Vehicle_NS,8,0,Vehicle_NS,hold,0,0,0,,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,,1,0,0,0,0,0
10.0,adaptive_shield,intersection_bursty_ped,S5_false_ped_and_burst,0,0,Vehicle_NS,9,0,Vehicle_NS,hold,0,0,0,,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,,1,0,0,0,0,0
12.0,adaptive_shield,intersection_bursty_ped,S5_false_ped_and_burst,0,0,Vehicle_NS,11,0,Vehicle_NS,hold,0,0,0,,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,,1,0,0,0,0,0
13.0,adaptive_shield,intersection_bursty_ped,S5_false_ped_and_burst,0,0,Vehicle_NS,12,0,Vehicle_NS,hold,0,0,0,,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,,1,0,0,0,0,0
14.0,adaptive_shield,intersection_bursty_ped,S5_false_ped_and_burst,0,0,Vehicle_NS,13,0,Vehicle_NS,hold,0,0,0,,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,,1,0,0,0,0,0
15.0,adaptive_shield,intersection_bursty_ped,S5_false_ped_and_burst,0,0,Vehicle_NS,14,4,Ped_EW,hold_by_shield,0,0,1,hold:min_hold (15s < 18s),0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,,1,1,0,0,0,0
16.0,adaptive_shield,intersection_bursty_ped,S5_false_ped_and_burst,0,0,Vehicle_NS,15,2,Vehicle_EW,hold_by_shield,0,0,1,hold:min_hold (16s < 18s),0,1,1,0,1,1,1,0,0,1,0,0,0,1,0,,1,1,0,0,0,0
18.0,adaptive_shield,intersection_bursty_ped,S5_false_ped_and_burst,0,0,Vehicle_NS,17,4,Ped_EW,hold_by_shield,0,0,1,hold:small_gain (margin +1.00 < 1.0),0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,,1,0,0,0,0,0
19.0,adaptive_shield,intersection_bursty_ped,S5_false_ped_and_burst,0,0,Vehicle_NS,18,0,Vehicle_NS,hold,0,0,0,,1,0,1,0,1,1,1,0,1,0,0,0,0,1,0,,1,0,0,0,0,0
20.0,adaptive_shield,intersection_bursty_ped,S5_false_ped_and_burst,0,0,Vehicle_NS,19,4,Ped_EW,switch,1,1,0,,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,,1,0,0,0,0,0
21.0,adaptive_shield,intersection_bursty_ped,S5_false_ped_and_burst,0,1,Clearance_after_NS,0,1,Clearance_after_NS,hold,0,0,0,,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,,1,0,0,0,0,0
22.0,adaptive_shield,intersection_bursty_ped,S5_false_ped_and_burst,0,1,Clearance_after_NS,1,1,Clearance_after_NS,hold,0,0,0,,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,,1,0,0,0,0,0
23.0,adaptive_shield,intersection_bursty_ped,S5_false_ped_and_burst,0,1,Clearance_after_NS,2,1,Clearance_after_NS,switch,1,0,0,,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,,1,0,0,0,0,1
24.0,adaptive_shield,intersection_bursty_ped,S5_false_ped_and_burst,0,4,Ped_EW,0,4,Ped_EW,hold,0,0,0,,0,0,2,0,1,1,1,0,0,0,0,0,0,1,0,,2,0,0,0,0,0
25.0,adaptive_shield,intersection_bursty_ped,S5_false_ped_and_burst,0,4,Ped_EW,1,4,Ped_EW,hold,0,0,0,,0,0,2,0,1,1,1,0,0,0,0,0,0,1,0,,2,0,0,0,0,0
26.0,adaptive_shield,intersection_bursty_ped,S5_false_ped_and_burst,0,4,Ped_EW,2,4,Ped_EW,hold,0,0,0,,0,0,2,0,1,1,1,0,0,0,0,0,0,1,0,,2,0,0,0,0,0
27.0,adaptive_shield,intersection_bursty_ped,S5_false_ped_and_burst,0,4,Ped_EW,3,4,Ped_EW,hold,0,0,0,,0,0,2,0,1,1,1,0,0,0,0,0,0,1,0,,2,0,0,0,0,0
28.0,adaptive_shield,intersection_bursty_ped,S5_false_ped_and_burst,0,4,Ped_EW,4,4,Ped_EW,hold,0,0,0,,2,0,2,0,1,1,1,0,2,0,0,0,0,1,0,,2,0,0,0,0,0
29.0,adaptive_shield,intersection_bursty_ped,S5_false_ped_and_burst,0,4,Ped_EW,5,4,Ped_EW,hold,0,0,0,,1,1,2,0,1,1,1,0,1,1,0,0,0,1,0,,2,0,0,0,0,0
30.0,adaptive_shield,intersection_bursty_ped,S5_false_ped_and_burst,0,4,Ped_EW,6,4,Ped_EW,hold,0,0,0,,1,0,2,0,1,1,1,0,1,0,0,0,0,1,0,,2,0,0,0,0,0
31.0,adaptive_shield,intersection_bursty_ped,S5_false_ped_and_burst,0,4,Ped_EW,7,4,Ped_EW,hold,0,0,0,,1,0,2,0,1,1,1,0,1,0,0,0,0,1,0,,2,0,0,0,0,0
32.0,adaptive_shield,intersection_bursty_ped,S5_false_ped_and_burst,0,4,Ped_EW,8,4,Ped_EW,hold,0,0,0,,1,0,2,0,1,1,1,0,1,0,0,0,0,1,0,,2,0,0,0,0,0
33.0,adaptive_shield,intersection_bursty_ped,S5_false_ped_and_burst,0,4,Ped_EW,9,4,Ped_EW,hold,0,0,0,,1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,,1,0,0,0,0,0
34.0,adaptive_shield,intersection_bursty_ped,S5_false_ped_and_burst,0,4,Ped_EW,10,4,Ped_EW,hold,0,0,0,,1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,,1,0,0,0,0,0
35.0,adaptive_shield,intersection_bursty_ped,S5_false_ped_and_burst,0,4,Ped_EW,11,4,Ped_EW,hold,0,0,0,,1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,,1,0,0,0,0,0
36.0,adaptive_shield,intersection_bursty_ped,S5_false_ped_and_burst,0,4,Ped_EW,12,4,Ped_EW,hold,0,0,0,,1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,,1,0,0,0,0,0
37.0,adaptive_shield,intersection_bursty_ped,S5_false_ped_and_burst,0,4,Ped_EW,13,0,Vehicle_NS,hold_by_shield,0,0,1,hold:min_hold (14s < 18s),2,2,1,0,1,1,1,0,2,2,0,0,0,1,0,,1,1,0,0,0,0
38.0,adaptive_shield,intersection_bursty_ped,S5_false_ped_and_burst,0,4,Ped_EW,14,2,Vehicle_EW,switch,1,1,0,,1,3,2,0,1,1,1,0,1,3,0,0,0,1,0,,2,0,0,0,0,0
39.0,adaptive_shield,intersection_bursty_ped,S5_false_ped_and_burst,0,5,Clearance_after_Ped_EW,0,5,Clearance_after_Ped_EW,hold,0,0,0,,2,2,1,1,1,1,1,1,2,2,0,1,0,1,0,,1,0,0,0,0,0
40.0,adaptive_shield,intersection_bursty_ped,S5_false_ped_and_burst,0,5,Clearance_after_Ped_EW,1,5,Clearance_after_Ped_EW,hold,0,0,0,,2,2,1,1,1,1,1,1,2,2,0,1,0,1,0,,1,0,0,0,0,0
41.0,adaptive_shield,intersection_bursty_ped,S5_false_ped_and_burst,0,5,Clearance_after_Ped_EW,2,5,Clearance_after_Ped_EW,switch,1,0,0,,2,2,1,1,1,1,1,1,2,2,0,1,0,1,0,,1,0,0,0,0,0
42.0,adaptive_shield,intersection_bursty_ped,S5_false_ped_and_burst,0,2,Vehicle_EW,0,2,Vehicle_EW,hold,0,0,0,,2,0,1,1,1,1,1,1,2,0,0,1,0,1,0,,1,0,0,0,0,0
