scenario_name,controller_name,seed,sim_duration,average_vehicle_queue_length,max_vehicle_queue_length,average_vehicle_waiting_time,max_vehicle_waiting_time,average_ped_waiting_time,max_ped_waiting_time,switch_count,shield_hold_min_hold,shield_hold_small_gain,shield_override_starvation,shield_override_demand
intersection_balanced,fixed_time,0,300.0,4.573,13,7.9,70.0,6.3,85.0,11,0,0,0,0
intersection_balanced,fixed_time,1,300.0,4.543,12,8.0,69.0,6.3,83.0,11,0,0,0,0
intersection_balanced,fixed_time,2,300.0,4.263,12,7.5,64.0,6.1,82.0,11,0,0,0,0
intersection_balanced,fixed_time,3,300.0,4.147,12,7.1,67.0,6.4,82.0,11,0,0,0,0
intersection_balanced,fixed_time,4,300.0,4.137,12,7.4,70.0,6.3,81.0,11,0,0,0,0
intersection_balanced,fixed_time,5,300.0,4.34,12,7.6,70.0,6.2,86.0,11,0,0,0,0
intersection_balanced,fixed_time,6,300.0,4.34,12,7.6,67.0,6.4,80.0,11,0,0,0,0
intersection_balanced,fixed_time,7,300.0,4.083,11,7.1,63.0,6.4,82.0,11,0,0,0,0
intersection_balanced,fixed_time,8,300.0,4.357,12,7.6,68.0,5.9,83.0,11,0,0,0,0
intersection_balanced,fixed_time,9,300.0,4.37,12,7.6,70.0,6.2,82.0,11,0,0,0,0
intersection_balanced,fixed_time,10,300.0,4.81,13,8.5,68.0,6.6,83.0,11,0,0,0,0
intersection_balanced,fixed_time,11,300.0,4.337,12,7.8,68.0,6.3,82.0,11,0,0,0,0
intersection_balanced,fixed_time,12,300.0,4.337,12,7.8,67.0,6.2,83.0,11,0,0,0,0
intersection_balanced,fixed_time,13,300.0,4.06,12,7.0,65.0,6.3,85.0,11,0,0,0,0
intersection_balanced,fixed_time,14,300.0,4.34,12,7.6,69.0,6.5,81.0,11,0,0,0,0
intersection_balanced,fixed_time,15,300.0,4.37,12,7.7,68.0,5.9,79.0,11,0,0,0,0
intersection_balanced,fixed_time,16,300.0,3.877,11,6.8,62.0,6.4,85.0,11,0,0,0,0
intersection_balanced,fixed_time,17,300.0,4.35,12,7.7,70.0,6.3,83.0,11,0,0,0,0
intersection_balanced,fixed_time,18,300.0,4.27,12,7.4,69.0,6.4,84.0,11,0,0,0,0
intersection_balanced,fixed_time,19,300.0,4.107,11,7.0,67.0,6.6,83.0,11,0,0,0,0
intersection_balanced,actuated,0,300.0,3.007,8,3.9,41.0,2.1,46.0,19,0,0,0,0
intersection_balanced,actuated,1,300.0,3.003,8,3.9,42.0,2.4,50.0,19,0,0,0,0
intersection_balanced,actuated,2,300.0,3.04,8,4.0,42.0,2.3,52.0,19,0,0,0,0
intersection_balanced,actuated,3,300.0,3.037,8,4.0,40.0,2.0,43.0,19,0,0,0,0
intersection_balanced,actuated,4,300.0,3.023,8,4.0,41.0,2.1,46.0,19,0,0,0,0
intersection_balanced,actuated,5,300.0,3.207,9,4.2,42.0,2.0,44.0,19,0,0,0,0
intersection_balanced,actuated,6,300.0,3.197,9,4.3,44.0,2.1,46.0,19,0,0,0,0
intersection_balanced,actuated,7,300.0,3.003,8,3.9,43.0,2.4,51.0,19,0,0,0,0
intersection_balanced,actuated,8,300.0,3.093,8,4.1,41.0,2.4,50.0,19,0,0,0,0
intersection_balanced,actuated,9,300.0,3.057,8,4.1,41.0,2.4,51.0,19,0,0,0,0
intersection_balanced,actuated,10,300.0,3.037,8,4.0,42.0,2.1,43.0,19,0,0,0,0
intersection_balanced,actuated,11,300.0,3.247,9,4.3,44.0,2.2,45.0,19,0,0,0,0
intersection_balanced,actuated,12,300.0,3.087,8,4.0,41.0,2.1,46.0,19,0,0,0,0
intersection_balanced,actuated,13,300.0,3.34,9,4.4,43.0,2.1,45.0,19,0,0,0,0
intersection_balanced,actuated,14,300.0,3.06,8,4.1,42.0,2.1,44.0,19,0,0,0,0
intersection_balanced,actuated,15,300.0,3.233,9,4.3,45.0,1.9,45.0,19,0,0,0,0
intersection_balanced,actuated,16,300.0,3.03,8,4.0,41.0,2.1,43.0,19,0,0,0,0
intersection_balanced,actuated,17,300.0,3.237,9,4.3,44.0,2.1,47.0,19,0,0,0,0
intersection_balanced,actuated,18,300.0,2.963,8,3.8,41.0,2.1,45.0,19,0,0,0,0
intersection_balanced,actuated,19,300.0,3.18,9,4.2,42.0,2.3,50.0,19,0,0,0,0
intersection_balanced,adaptive_only,0,300.0,2.35,7,2.7,43.0,4.0,56.0,18,0,0,0,0
intersection_balanced,adaptive_only,1,300.0,2.24,8,2.5,42.0,4.5,57.0,18,0,0,0,0
intersection_balanced,adaptive_only,2,300.0,2.063,5,2.2,44.0,4.5,65.0,18,0,0,0,0
intersection_balanced,adaptive_only,3,300.0,2.27,6,2.6,43.0,4.8,64.0,18,0,0,0,0
intersection_balanced,adaptive_only,4,300.0,2.227,6,2.5,42.0,4.0,65.0,18,0,0,0,0
intersection_balanced,adaptive_only,5,300.0,2.107,5,2.4,41.0,4.8,64.0,18,0,0,0,0
intersection_balanced,adaptive_only,6,300.0,2.36,7,2.7,43.0,4.6,68.0,18,0,0,0,0
intersection_balanced,adaptive_only,7,300.0,2.073,6,2.2,39.0,4.5,63.0,18,0,0,0,0
intersection_balanced,adaptive_only,8,300.0,2.213,7,2.5,43.0,4.4,64.0,18,0,0,0,0
intersection_balanced,adaptive_only,9,300.0,2.283,7,2.6,42.0,4.3,56.0,18,0,0,0,0
intersection_balanced,adaptive_only,10,300.0,2.16,6,2.4,42.0,4.3,64.0,18,0,0,0,0
intersection_balanced,adaptive_only,11,300.0,2.227,6,2.6,44.0,4.5,68.0,18,0,0,0,0
intersection_balanced,adaptive_only,12,300.0,2.163,7,2.4,42.0,4.3,55.0,18,0,0,0,0
intersection_balanced,adaptive_only,13,300.0,2.213,6,2.4,40.0,4.5,65.0,18,0,0,0,0
intersection_balanced,adaptive_only,14,300.0,2.353,7,2.9,43.0,4.5,59.0,18,0,0,0,0
intersection_balanced,adaptive_only,15,300.0,2.193,6,2.7,42.0,4.4,65.0,18,0,0,0,0
intersection_balanced,adaptive_only,16,300.0,2.083,6,2.4,44.0,4.8,64.0,18,0,0,0,0
intersection_balanced,adaptive_only,17,300.0,2.11,7,2.4,43.0,4.4,53.0,18,0,0,0,0
intersection_balanced,adaptive_only,18,300.0,2.077,5,2.3,41.0,4.7,60.0,18,0,0,0,0
intersection_balanced,adaptive_only,19,300.0,2.343,7,2.7,44.0,4.4,57.0,18,0,0,0,0
intersection_balanced,adaptive_shield,0,300.0,2.6,7,3.1,42.0,4.4,69.0,17,1,0,17,0
intersection_balanced,adaptive_shield,1,300.0,2.507,7,3.0,42.0,4.4,61.0,17,1,0,17,0
intersection_balanced,adaptive_shield,2,300.0,2.557,7,3.1,44.0,4.1,60.0,17,1,0,17,0
