Scenario,Controller,Conflict,DangerAttempt,VehP95,PedP95,VehStarve,PedStarve,AvgVQ,AvgVW,AvgPW,MaxVW,MaxPW,SwRate,UnnecRate
S1 balanced,fixed_time,0.00±0.00,0.00±0.00,41.90±1.41,44.95±0.69,0.00±0.00,3.90±0.64,4.30±0.20,7.54±0.40,6.30±0.19,67.55±2.40,82.70±1.75,11.00±0.00,0.09±0.00
S1 balanced,actuated,0.00±0.00,0.00±0.00,25.25±0.79,18.75±1.33,0.00±0.00,0.00±0.00,3.10±0.11,4.09±0.17,2.17±0.15,42.10±1.33,46.60±2.96,19.00±0.00,0.12±0.02
S1 balanced,adaptive_only,0.00±0.00,0.00±0.00,18.55±1.10,31.50±1.96,0.00±0.00,0.60±0.50,2.21±0.10,2.50±0.18,4.46±0.22,42.35±1.35,61.60±4.54,18.00±0.00,0.06±0.00
S1 balanced,adaptive_shield,0.00±0.00,1.15±0.37,21.55±1.50,31.75±3.49,0.00±0.00,1.00±1.12,2.58±0.14,3.12±0.24,4.38±0.50,41.75±2.20,62.70±5.39,17.55±0.51,0.06±0.00
S2 directional surge,fixed_time,0.00±0.00,0.00±0.00,46.10±1.21,44.95±0.69,0.00±0.00,3.90±0.64,10.03±0.52,9.53±0.46,6.30±0.19,68.75±1.12,82.70±1.75,11.00±0.00,0.09±0.00
S2 directional surge,actuated,0.00±0.00,0.00±0.00,31.60±0.50,18.75±1.33,0.00±0.00,0.00±0.00,10.20±0.37,6.64±0.19,2.17±0.15,44.20±0.89,46.60±2.96,19.00±0.00,0.12±0.02
S2 directional surge,adaptive_only,0.00±0.00,0.00±0.00,18.90±1.89,42.20±3.19,0.00±0.00,5.00±1.41,3.47±0.18,2.59±0.20,6.28±0.50,56.50±4.07,71.75±4.98,17.00±0.00,0.06±0.00
S2 directional surge,adaptive_shield,0.00±0.00,0.00±0.00,18.65±1.93,42.15±2.96,0.00±0.00,5.00±1.41,3.46±0.21,2.58±0.19,6.28±0.47,56.25±4.13,71.30±4.22,17.00±0.00,0.06±0.00
S3 ped heavy,fixed_time,0.00±0.00,0.00±0.00,42.70±1.78,43.90±0.72,0.00±0.00,10.75±0.64,4.39±0.25,7.71±0.51,5.63±0.14,68.05±2.33,83.75±1.45,11.00±0.00,0.09±0.00
S3 ped heavy,actuated,0.00±0.00,0.00±0.00,25.35±0.67,23.95±0.83,0.00±0.00,0.00±0.00,3.10±0.09,4.09±0.13,2.75±0.12,41.95±1.32,51.00±0.65,19.00±0.00,0.10±0.00
S3 ped heavy,adaptive_only,0.00±0.00,0.00±0.00,26.35±1.09,21.65±0.88,0.00±0.00,0.00±0.00,3.11±0.15,4.12±0.34,2.60±0.14,45.35±3.83,50.05±1.05,18.45±0.51,0.06±0.00
S3 ped heavy,adaptive_shield,0.00±0.00,1.10±0.31,25.40±1.76,20.75±1.29,0.00±0.00,0.00±0.00,2.97±0.17,3.94±0.36,2.52±0.16,45.90±2.00,50.05±1.23,18.00±0.00,0.06±0.00
S4 delay detection,fixed_time,0.00±0.00,0.00±0.00,41.90±1.41,44.95±0.69,0.00±0.00,3.90±0.64,4.30±0.20,7.54±0.40,6.30±0.19,67.55±2.40,82.70±1.75,11.00±0.00,0.09±0.00
S4 delay detection,actuated,0.00±0.00,0.00±0.00,25.60±0.50,19.55±1.10,0.00±0.00,0.00±0.00,3.14±0.06,4.14±0.12,2.23±0.14,42.45±0.89,46.55±2.52,19.00±0.00,0.16±0.02
S4 delay detection,adaptive_only,0.00±0.00,0.00±0.00,22.80±1.40,27.25±1.92,0.00±0.00,0.40±0.82,2.67±0.16,3.35±0.30,3.50±0.36,42.15±1.73,54.55±7.51,18.00±0.00,0.11±0.02
S4 delay detection,adaptive_shield,0.00±0.00,0.00±0.00,23.15±1.60,27.75±1.86,0.00±0.00,0.20±0.41,2.71±0.14,3.37±0.30,4.00±0.34,41.30±1.90,56.10±6.61,17.85±0.37,0.08±0.03
S5 false ped and burst,fixed_time,0.00±0.00,0.00±0.00,42.30±1.78,26.05±1.05,0.00±0.00,2.10±0.31,4.32±0.24,7.60±0.49,3.25±0.16,68.00±2.34,83.25±1.41,11.00±0.00,0.09±0.00
S5 false ped and burst,actuated,0.00±0.00,0.00±0.00,25.15±0.59,24.05±0.60,0.00±0.00,0.00±0.00,3.09±0.08,4.07±0.10,2.94±0.11,42.05±1.50,49.75±1.94,19.00±0.00,0.15±0.04
S5 false ped and burst,adaptive_only,0.00±0.00,0.00±0.00,27.50±2.56,17.05±2.52,0.00±0.00,0.35±0.59,3.26±0.28,4.46±0.57,1.93±0.30,51.75±4.41,58.70±9.10,18.80±0.41,0.06±0.02
S5 false ped and burst,adaptive_shield,0.00±0.00,4.00±1.41,29.35±2.48,18.80±2.86,0.00±0.00,1.05±0.89,3.33±0.21,4.75±0.51,2.21±0.42,57.10±4.61,67.45±11.49,18.00±0.00,0.06±0.04
S6 detector failure,fixed_time,0.00±0.00,0.00±0.00,41.90±1.41,44.95±0.69,0.00±0.00,3.90±0.64,4.30±0.20,7.54±0.40,6.30±0.19,67.55±2.40,82.70±1.75,11.00±0.00,0.18±0.00
S6 detector failure,actuated,0.00±0.00,0.00±0.00,25.25±0.79,18.75±1.33,0.00±0.00,0.00±0.00,3.10±0.11,4.09±0.17,2.17±0.15,42.10±1.33,46.60±2.96,19.00±0.00,0.22±0.02
S6 detector failure,adaptive_only,0.00±0.00,0.00±0.00,65.65±2.54,29.40±4.17,3.10±0.45,1.15±0.88,4.27±0.24,8.54±0.54,4.04±0.47,117.95±3.33,62.30±3.76,18.20±0.41,0.22±0.03
