scenario_id,controller_name,n_runs,average_vehicle_queue_length_mean,average_vehicle_queue_length_std,max_vehicle_queue_length_mean,max_vehicle_queue_length_std,average_vehicle_waiting_time_mean,average_vehicle_waiting_time_std,max_vehicle_waiting_time_mean,max_vehicle_waiting_time_std,average_ped_waiting_time_mean,average_ped_waiting_time_std,max_ped_waiting_time_mean,max_ped_waiting_time_std,switch_count_mean,switch_count_std,switch_rate_per_300s_mean,switch_rate_per_300s_std,unnecessary_switch_count_mean,unnecessary_switch_count_std,unnecessary_switch_rate_mean,unnecessary_switch_rate_std,conflict_release_count_mean,conflict_release_count_std,dangerous_switch_attempt_count_mean,dangerous_switch_attempt_count_std,vehicle_wait_p95_mean,vehicle_wait_p95_std,ped_wait_p95_mean,ped_wait_p95_std,vehicle_starvation_count_mean,vehicle_starvation_count_std,ped_starvation_count_mean,ped_starvation_count_std,shield_hold_min_hold_mean,shield_hold_min_hold_std,shield_hold_small_gain_mean,shield_hold_small_gain_std,shield_override_starvation_mean,shield_override_starvation_std,shield_override_demand_mean,shield_override_demand_std
S1_balanced,fixed_time,20,4.301,0.204,11.95,0.51,7.535,0.399,67.55,2.395,6.3,0.186,82.7,1.75,11.0,0.0,11.0,0.0,1.0,0.0,0.091,0.0,0.0,0.0,0.0,0.0,41.9,1.41,44.95,0.686,0.0,0.0,3.9,0.641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1_balanced,actuated,20,3.104,0.106,8.35,0.489,4.09,0.168,42.1,1.334,2.165,0.15,46.6,2.963,19.0,0.0,19.0,0.0,2.25,0.444,0.118,0.024,0.0,0.0,0.0,0.0,25.25,0.786,18.75,1.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1_balanced,adaptive_only,20,2.205,0.1,6.35,0.813,2.505,0.182,42.35,1.348,4.46,0.223,61.6,4.535,18.0,0.0,18.0,0.0,1.0,0.0,0.056,0.0,0.0,0.0,0.0,0.0,18.55,1.099,31.5,1.96,0.0,0.0,0.6,0.503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1_balanced,adaptive_shield,20,2.58,0.139,7.7,0.571,3.12,0.242,41.75,2.197,4.38,0.496,62.7,5.391,17.55,0.51,17.55,0.51,1.0,0.0,0.057,0.002,0.0,0.0,1.15,0.366,21.55,1.504,31.75,3.492,0.0,0.0,1.0,1.124,1.15,0.366,0.1,0.308,17.0,0.0,0.0,0.0
S2_directional_surge,fixed_time,20,10.033,0.524,24.3,0.923,9.525,0.456,68.75,1.118,6.3,0.186,82.7,1.75,11.0,0.0,11.0,0.0,1.0,0.0,0.091,0.0,0.0,0.0,0.0,0.0,46.1,1.21,44.95,0.686,0.0,0.0,3.9,0.641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2_directional_surge,actuated,20,10.2,0.373,26.3,0.801,6.64,0.188,44.2,0.894,2.165,0.15,46.6,2.963,19.0,0.0,19.0,0.0,2.25,0.444,0.118,0.024,0.0,0.0,0.0,0.0,31.6,0.503,18.75,1.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2_directional_surge,adaptive_only,20,3.469,0.185,10.6,0.821,2.59,0.2,56.5,4.072,6.275,0.496,71.75,4.983,17.0,0.0,17.0,0.0,1.0,0.0,0.059,0.0,0.0,0.0,0.0,0.0,18.9,1.889,42.2,3.189,0.0,0.0,5.0,1.414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2_directional_surge,adaptive_shield,20,3.464,0.206,10.6,0.883,2.575,0.194,56.25,4.128,6.28,0.472,71.3,4.219,17.0,0.0,17.0,0.0,1.0,0.0,0.059,0.0,0.0,0.0,0.0,0.0,18.65,1.927,42.15,2.961,0.0,0.0,5.0,1.414,0.0,0.0,0.2,0.41,13.1,0.788,3.6,0.503
S3_ped_heavy,fixed_time,20,4.39,0.247,11.9,0.718,7.71,0.505,68.05,2.328,5.635,0.139,83.75,1.446,11.0,0.0,11.0,0.0,1.0,0.0,0.091,0.0,0.0,0.0,0.0,0.0,42.7,1.78,43.9,0.718,0.0,0.0,10.75,0.639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3_ped_heavy,actuated,20,3.105,0.089,8.3,0.47,4.09,0.133,41.95,1.317,2.755,0.123,51.0,0.649,19.0,0.0,19.0,0.0,2.0,0.0,0.105,0.0,0.0,0.0,0.0,0.0,25.35,0.671,23.95,0.826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3_ped_heavy,adaptive_only,20,3.113,0.147,8.05,0.605,4.115,0.341,45.35,3.829,2.605,0.143,50.05,1.05,18.45,0.51,18.45,0.51,1.0,0.0,0.055,0.002,0.0,0.0,0.0,0.0,26.35,1.089,21.65,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3_ped_heavy,adaptive_shield,20,2.969,0.174,7.95,0.759,3.935,0.356,45.9,1.997,2.52,0.161,50.05,1.234,18.0,0.0,18.0,0.0,1.0,0.0,0.056,0.0,0.0,0.0,1.1,0.308,25.4,1.759,20.75,1.293,0.0,0.0,0.0,0.0,1.1,0.308,0.2,0.41,17.0,0.0,0.0,0.0
S4_delay_detection,fixed_time,20,4.301,0.204,11.95,0.51,7.535,0.399,67.55,2.395,6.3,0.186,82.7,1.75,11.0,0.0,11.0,0.0,1.0,0.0,0.091,0.0,0.0,0.0,0.0,0.0,41.9,1.41,44.95,0.686,0.0,0.0,3.9,0.641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S4_delay_detection,actuated,20,3.141,0.062,8.05,0.224,4.145,0.119,42.45,0.887,2.23,0.142,46.55,2.523,19.0,0.0,19.0,0.0,3.1,0.308,0.163,0.016,0.0,0.0,0.0,0.0,25.6,0.503,19.55,1.099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S4_delay_detection,adaptive_only,20,2.672,0.162,7.45,0.51,3.345,0.303,42.15,1.725,3.495,0.363,54.55,7.515,18.0,0.0,18.0,0.0,2.0,0.324,0.111,0.018,0.0,0.0,0.0,0.0,22.8,1.399,27.25,1.916,0.0,0.0,0.4,0.821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
